index,Democrat,Republican,Ambigious,ideology_score,ideology_score_flw,party,news_count,politicians_flw_count,worldview_alignment
1458703932,10,1,5,0.25,0.228625275232366,Democrat,4.0,90,0.9090909090909091
74580892,5,5,3,0.08333333333333301,0.280995998507623,Democrat,3.0,23,0.5
866426167968059393,0,8,2,,,,,,1.0
769625312799883264,9,3,2,0.383333333333333,0.182409717237031,Democrat,15.0,6,0.75
1569481291,8,3,2,0.25,0.14117884485096602,Democrat,12.0,4,0.7272727272727273
259713856,4,4,2,,0.17104502003225602,,,3,0.5
281247592,5,2,4,0.18055555555555503,0.316290814391304,Democrat,18.0,8,0.7142857142857143
1227842054,4,5,3,0.125,0.21930501431100402,Democrat,2.0,19,0.4444444444444444
937904444,5,2,5,0.33333333333333304,0.21072542027524302,Democrat,3.0,55,0.7142857142857143
2479879531,0,6,4,0.675,0.6432909090519491,Republican,10.0,6,1.0
309159046,4,3,4,0.12804878048780402,0.207817495234661,Democrat,123.0,4,0.5714285714285714
19523971,3,5,2,0.30000000000000004,0.20984047918738502,Democrat,5.0,26,0.375
20634119,1,8,1,0.33333333333333304,0.309982660367394,Democrat,3.0,40,0.1111111111111111
938105822,11,2,4,0.22222222222222202,0.22875868460516202,Democrat,9.0,46,0.8461538461538461
453967751,2,6,3,0.9375,0.696946074538287,Republican,4.0,14,0.75
500977616,0,3,7,1.0,0.707825670041467,Republican,1.0,11,1.0
248273667,5,3,3,0.192307692307692,0.31504342891802,Democrat,13.0,4,0.625
58560312,4,4,3,0.25,0.19858850136094702,Democrat,3.0,25,0.5
578785653,4,2,4,0.225,0.18505685776152703,Democrat,10.0,12,0.6666666666666666
749305632600141824,1,4,5,0.9090909090909091,0.835323137560347,Republican,11.0,9,0.8
79847641,5,4,5,0.0,0.215063427318428,Democrat,2.0,33,0.5555555555555556
4634402663,4,5,2,0.25,0.20381534326396503,Democrat,9.0,3,0.4444444444444444
763396585564807168,3,3,4,0.5,,Republican,1.0,,0.5
846803689,0,6,4,0.9166666666666661,0.6908765990694751,Republican,3.0,23,1.0
48743549,7,4,2,0.21875000000000003,0.32287675846443703,Democrat,8.0,11,0.6363636363636364
149942264,5,5,4,0.08928571428571401,0.1937794703367,Democrat,28.0,10,0.5
23177299,8,5,6,0.145833333333333,0.25175252668068504,Democrat,12.0,119,0.6153846153846154
408453909,3,4,3,0.25,0.19055893331602203,Democrat,5.0,31,0.42857142857142855
168139053,3,2,6,0.1,0.205410117103758,Democrat,5.0,34,0.6
827708063801077760,0,6,4,0.7916666666666661,0.7749506732879381,Republican,54.0,3,1.0
3135777464,1,3,6,0.7884615384615381,0.712045821816892,Republican,13.0,20,0.75
25583943,5,2,3,0.11111111111111101,0.186307215215149,Democrat,9.0,21,0.7142857142857143
4057730116,0,6,4,0.7592592592592591,0.728615893155624,Republican,27.0,25,1.0
36851304,5,5,1,0.291666666666666,0.20565552003924803,Democrat,6.0,35,0.5
898930187634708480,0,6,5,0.75,0.585457447044966,Republican,1.0,25,1.0
822248307984572416,1,6,4,0.8,0.6190548201587871,Republican,15.0,3,0.8571428571428571
16152031,6,6,1,0.1875,0.13792113021507701,Democrat,8.0,12,0.5
756342854159446017,5,0,6,,,,,,0.0
825640323275694080,1,6,3,0.5714285714285711,,Republican,7.0,,0.8571428571428571
275269411,3,4,3,0.328125,0.266555546505856,Democrat,16.0,13,0.42857142857142855
857178094519685121,1,5,5,,,,,,0.8333333333333334
815381283736092676,6,5,4,,,,,,0.45454545454545453
1571300798,1,3,7,0.875,0.725826974641387,Republican,2.0,17,0.75
2614144291,6,3,3,0.05,0.172095872204685,Democrat,40.0,4,0.6666666666666666
266912311,5,2,3,0.194444444444444,0.22833578409450603,Democrat,9.0,19,0.7142857142857143
2808731195,3,2,6,0.305555555555555,0.23148773028379002,Democrat,18.0,46,0.6
29290319,1,3,6,0.8214285714285711,0.689252847728204,Republican,7.0,21,0.75
2875472351,3,6,3,0.25,0.168782322461659,Democrat,2.0,11,0.3333333333333333
931728083484364801,3,3,4,,,,,,0.5
805152063281831936,1,7,3,0.845238095238095,0.7518576270458031,Republican,21.0,21,0.875
35594964,10,0,6,0.125,0.242741473314896,Democrat,2.0,50,1.0
14827763,8,1,6,0.24253731343283502,,Democrat,67.0,,0.8888888888888888
241601942,6,4,2,0.261363636363636,0.217938834475585,Democrat,22.0,20,0.6
234531577,3,4,4,0.875,0.8626851888748771,Republican,22.0,6,0.5714285714285714
1038840391,1,4,5,0.7142857142857141,0.664455674075999,Republican,7.0,13,0.8
1284723594,7,4,3,0.25,0.204000428484778,Democrat,1.0,36,0.6363636363636364
3122464086,5,5,2,0.112068965517241,0.194365031549165,Democrat,29.0,15,0.5
182014524,5,5,2,0.1875,0.26374220327262804,Democrat,4.0,5,0.5
1139588809698553856,2,5,3,0.25,0.272863435931407,Democrat,5.0,141,0.2857142857142857
2293299668,1,5,4,0.9519230769230761,0.7535842516772001,Republican,26.0,7,0.8333333333333334
760875897264091137,0,8,2,,,,,,1.0
85016689,2,5,4,0.5,0.5906577703835241,Republican,8.0,2,0.2857142857142857
154266955,8,2,5,0.208333333333333,0.234244985101962,Democrat,6.0,63,0.8
2987306921,1,2,7,0.75,0.8612347016405321,Republican,26.0,2,0.6666666666666666
42929376,4,2,5,0.25,0.155829084068025,Democrat,1.0,5,0.6666666666666666
775367121123639296,7,1,8,0.375,0.216312104310031,Democrat,2.0,24,0.875
3311803986,8,2,3,0.25,0.201057134609182,Democrat,11.0,47,0.8
15112244,2,6,3,0.23611111111111102,0.40240481593262906,Democrat,18.0,7,0.25
37003691,7,5,3,0.321428571428571,0.20648565110689102,Democrat,7.0,3,0.5833333333333334
479834796,1,8,2,0.6666666666666661,0.7298678673443161,Republican,6.0,7,0.8888888888888888
309288111,4,1,7,0.18181818181818102,0.22591049587696702,Democrat,11.0,16,0.8
880811926791610374,3,3,4,,,,,,0.5
195626802,1,1,8,0.25,0.0,Democrat,2.0,1,0.5
1069665210,3,3,4,0.06818181818181801,0.1860998059467,Democrat,11.0,9,0.5
526616604,1,2,8,0.9166666666666661,0.677493735313473,Republican,6.0,2,0.6666666666666666
2711780581,2,7,1,0.9166666666666661,0.6465436611948661,Republican,12.0,4,0.7777777777777778
3091694828,6,2,3,0.0,0.186176509791513,Democrat,1.0,4,0.75
916706665440927745,3,5,2,,,,,,0.625
818882865995907072,1,11,2,0.85,,Republican,5.0,,0.9166666666666666
31416978,4,3,4,0.1625,0.22194936526791803,Democrat,20.0,11,0.5714285714285714
54479718,1,6,5,0.8823529411764701,0.6706152057675331,Republican,17.0,14,0.8571428571428571
65623919,3,0,10,0.28500000000000003,0.137712707147086,Democrat,50.0,8,1.0
22039734,6,5,0,0.15625,0.20558698731504402,Democrat,8.0,48,0.5454545454545454
1137495532996370432,3,4,3,0.171875,0.24079930959380402,Democrat,16.0,10,0.42857142857142855
196900432,2,4,4,0.910714285714285,0.763329852523236,Republican,14.0,22,0.6666666666666666
134324031,4,6,0,0.25,0.22790416566989502,Democrat,4.0,2,0.4
132348576,1,7,3,0.7763157894736841,0.718673315139694,Republican,19.0,7,0.875
4822855067,0,7,3,0.75,0.701512531274573,Republican,5.0,48,1.0
822503864251412481,1,6,4,,,,,,0.8571428571428571
88016411,1,4,6,0.785714285714285,0.7307915736264881,Republican,7.0,12,0.8
223229600,4,1,6,0.116666666666666,0.141161572883711,Democrat,15.0,7,0.8
252681980,5,4,4,0.291666666666666,0.200948168707369,Democrat,6.0,77,0.5555555555555556
